business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
sxQrSzv4SS4b6o3tgmWS7A,"""Chuck E Cheese's""",,"""1035 Washington Pike""",Bridgeville,PA,15017,40.36466549,-80.11062035,3,11,1,Active Life;Arts & Entertainment;Restaurants;Venues & Event Spaces;Event Planning & Services;Kids Activities;Arcades;Pizza
Ql0iiHl2xpIwtkuC255Wiw,"""John's Incredible Pizza Company""",Eastside,"""3700 S Maryland Pkwy""",Las Vegas,NV,89119,36.122106,-115.134871,3,268,1,Active Life;Pizza;Arts & Entertainment;Kids Activities;Restaurants;Amusement Parks;Arcades
pbUsYtULpwmhZXlzeTfcww,"""Stone & Barrel""",,"""24218 S Oakwood Blvd""",Sun Lakes,AZ,85248,33.22703845,-111.87378,4,23,1,Active Life;Restaurants;Nightlife;American (Traditional);Bars;Event Planning & Services;Pizza
gWsWtppVufrGfGWw1HcjOA,"""Dream Lanes""",,"""13 Atlas Ct""",Madison,WI,53714,43.0867933,-89.3068682,3,8,1,Active Life;Toy Stores;Shopping;Pizza;Event Planning & Services;Sporting Goods;Restaurants;Party & Event Planning;Bowling
T0ju0drMLfXJPNLnEsEYgw,"""Pizza Hot Wings""",Scarborough,"""3007 Sheppard Avenue E""",Toronto,ON,M1T 3J5,43.7764067,-79.3181349,3.5,3,0,Afghan;Halal;Pizza;Restaurants
AUp7fTAH7PwxecdSO_iAhw,"""California Pizza Kitchen""",,"""3163 W Chandler Blvd, Ste 4""",Chandler,AZ,85226,33.29964151,-111.8989237,3,98,1,American (New);American (Traditional);Pizza;Restaurants
QNn3lvwCBwNcQFPbjAtgdQ,"""Fairway Grille""",,"""1530 Hamilton Rd""",Pittsburgh,PA,15234,40.3540905,-80.0146199,3,27,1,American (New);Bars;Beer Bar;Restaurants;Pizza;Nightlife
cTPdZ9Va0HCLESf5gNnXwA,"""Lucille""",Capitol,"""101 King St""",Madison,WI,53703,43.07452342,-89.38154665,3.5,176,1,American (New);Bars;Lounges;Nightlife;Burgers;Restaurants;Pizza
pfmr8R3WH8RXqW0W6D8ffQ,"""Lombardi's Romagna Mia""",The Strip,"""3663 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1105741,-115.1694168,3.5,280,1,American (New);Breakfast & Brunch;Pizza;American (Traditional);Restaurants;Italian
pBFewLcdLnf1XwPTE4jtyQ,"""McFate's Tap + Barrel""",,"""7337 E Shea Blvd, Ste 105""",Scottsdale,AZ,85260,33.5814933,-111.9235093,4,318,1,American (New);Breweries;Restaurants;Pizza;Food
jZUizCQ4nRmyovBeuUniGQ,"""Stone Mountain Grill""",Ballantyne,"""15719 John J Delaney Dr""",Charlotte,NC,28277,35.05795843,-80.85153984,3.5,151,1,American (New);Burgers;Pizza;Restaurants
-hMdEBaeky47g4D8-0Xl3Q,"""Vu Bistro""",,"""14815 E Shea Blvd, Ste 100""",Fountain Hills,AZ,85268,33.5781377,-111.7614506,3,83,1,American (New);Cafes;Bars;Pizza;Nightlife;Restaurants;American (Traditional)
3NSeHqI4QrXx8Smw2j662w,"""Creekside Restaurant & Bar""",,"""8803 Brecksville Rd""",Brecksville,OH,44141,41.322271,-81.626113,3.5,98,1,American (New);Cocktail Bars;Bars;Restaurants;Nightlife;Pizza
aQUo8irLBywAZN26ln_Q1w,"""WILD""",Downtown,"""150 N Las Vegas Blvd, Ste 120""",Las Vegas,NV,89101,36.1700878,-115.1396153,4,107,0,American (New);Cocktail Bars;Pizza;Food;Nightlife;Juice Bars & Smoothies;Restaurants;Bars
QAuQV01Yz2Gl89ZN6c1F4w,"""Forge Pizza""",,"""2502 E Camelback Rd, Ste 148""",Phoenix,AZ,85016,33.51076032,-112.026358,4,49,0,American (New);Comfort Food;Pizza;Restaurants
